S051,UK,S149,Liberia
S051,UK,C015,Qatar+B
S051,UK,S076,Yemen
S051,UK,S069,Afghanistan
S051,UK,S102,SouthSudan
S051,UK,S166,Oman
S051,UK,S170,Jamaica
S051,UK,S045,Germany
S051,UK,S141,Denmark
S051,UK,S010,India-N
S051,UK,S122,Austria
S051,UK,S009,India-E
S051,UK,S116,Somalia
S051,UK,S033,Nigeria-NW
S051,UK,S148,Norway
S051,UK,S032,Nigeria-NE
S051,UK,S062,Uganda
S051,UK,C014,Nepal+B
S051,UK,S031,Nigeria-NC
S051,UK,S162,Kuwait
S051,UK,S136,SierraLeone
S051,UK,S042,Ethopia
S051,UK,S036,Nigeria-SW
S051,UK,S011,India-NE
S051,UK,S077,Ghana
S051,UK,S013,India-W
S051,UK,S034,Nigeria-SE
S051,UK,S035,Nigeria-SS
S051,UK,S012,India-S
S051,UK,S091,Malawi
S051,UK,S146,UAE
S051,UK,S104,Rwanda
S051,UK,S172,Namibia
S051,UK,S059,Kenya
S051,UK,S087,SriLanka
S051,UK,S053,South Africa
S051,UK,C019,Leso+Bot+Swz
S051,UK,S055,Tanzania
S051,UK,S119,Sweden
S051,UK,S098,Zambia
S051,UK,S024,Pakistan
S051,UK,C012,Italy+M+SM+V
S062,Uganda,S062,Uganda
S062,Uganda,S059,Kenya
S062,Uganda,S055,Tanzania
S062,Uganda,S042,Ethopia
S062,Uganda,S098,Zambia
S062,Uganda,S104,Rwanda
S062,Uganda,S162,Kuwait
S062,Uganda,S146,UAE
S062,Uganda,S102,SouthSudan
S062,Uganda,S032,Nigeria-NE
S062,Uganda,S116,Somalia
S062,Uganda,S034,Nigeria-SE
S062,Uganda,S091,Malawi
S062,Uganda,S035,Nigeria-SS
S062,Uganda,S031,Nigeria-NC
S062,Uganda,S033,Nigeria-NW
S062,Uganda,S064,Sudan
S062,Uganda,S077,Ghana
S062,Uganda,S172,Namibia
S062,Uganda,C019,Leso+Bot+Swz
S062,Uganda,S053,South Africa
S062,Uganda,C015,Qatar+B
S062,Uganda,S166,Oman
S062,Uganda,S136,SierraLeone
S062,Uganda,S009,India-E
S062,Uganda,S024,Pakistan
S062,Uganda,S012,India-S
S062,Uganda,S010,India-N
S062,Uganda,S149,Liberia
S062,Uganda,S087,SriLanka
S062,Uganda,S069,Afghanistan
S062,Uganda,S013,India-W
S062,Uganda,S011,India-NE
S062,Uganda,S037,Bangladesh
S062,Uganda,C014,Nepal+B
S062,Uganda,S150,Ireland
S062,Uganda,S073,Malaysia
S062,Uganda,S051,UK
S062,Uganda,S041,Philippines
S062,Uganda,S143,Singapore
S062,Uganda,C011,HongKong+M
S062,Uganda,S047,Iran
S062,Uganda,S066,Canada
S062,Uganda,S118,Burundi
S062,Uganda,S018,US-NE
S062,Uganda,S014,US-CA
S146,UAE,S146,UAE
S146,UAE,S162,Kuwait
S146,UAE,C015,Qatar+B
S146,UAE,S166,Oman
S146,UAE,S076,Yemen
S146,UAE,S069,Afghanistan
S146,UAE,S064,Sudan
S146,UAE,S009,India-E
S146,UAE,S042,Ethopia
S146,UAE,S116,Somalia
S146,UAE,S104,Rwanda
S146,UAE,S010,India-N
S146,UAE,S062,Uganda
S146,UAE,C014,Nepal+B
S146,UAE,S102,SouthSudan
S146,UAE,S087,SriLanka
S146,UAE,S012,India-S
S146,UAE,S024,Pakistan
S146,UAE,S037,Bangladesh
S146,UAE,S059,Kenya
S146,UAE,S013,India-W
S146,UAE,S055,Tanzania
S146,UAE,S011,India-NE
S146,UAE,S103,Zimbabwe
S146,UAE,S098,Zambia
S146,UAE,S032,Nigeria-NE
S146,UAE,C019,Leso+Bot+Swz
S146,UAE,S172,Namibia
S146,UAE,S033,Nigeria-NW
S146,UAE,S041,Philippines
S146,UAE,S031,Nigeria-NC
S146,UAE,S034,Nigeria-SE
S146,UAE,S035,Nigeria-SS
S146,UAE,S149,Liberia
S146,UAE,S053,South Africa
S146,UAE,S036,Nigeria-SW
S146,UAE,S073,Malaysia
S146,UAE,S077,Ghana
S146,UAE,C011,HongKong+M
S146,UAE,S136,SierraLeone
S146,UAE,S143,Singapore
S146,UAE,S150,Ireland
S146,UAE,S125,PaNewGuinea
